Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Theater Manager,40%,472,1739,0.271420357,Administrative & Clerical
Watchmaker,40%,157,643,0.244167963,Leadership & Strategy
Assistant Buyer,40%,710,2168,0.327490775,Medical & Healthcare
Associate Buyer,40%,710,2181,0.325538744,Supply Chain & Logistics
Automation Technician,40%,557,1796,0.31013363,Law Enforcement
Cmm Programmer,40%,295,919,0.321001088,Construction
Controls Technician,40%,304,964,0.315352697,Sales & Marketing
Inventory,40%,539,1778,0.303149606,Hospitality
Manufacturing Analyst,40%,638,2158,0.295644115,Communication & PR
Manufacturing Technician,40%,432,1757,0.245873648,Data & IT
Material Handler,40%,352,1212,0.290429043,Administrative & Clerical
Order Builder,40%,341,1195,0.285355649,Leadership & Strategy
Order Picker,40%,345,1200,0.2875,Medical & Healthcare
Order Puller,40%,343,1198,0.286310518,Supply Chain & Logistics
Picker,40%,154,584,0.26369863,Law Enforcement
Production Operator,40%,250,1013,0.246791708,Construction
Deli Manager,40%,541,1803,0.300055463,Sales & Marketing
Director Of Development,40%,829,2430,0.341152263,Hospitality
Business Development Officer,40%,958,2883,0.332292751,Communication & PR
Field Representative,40%,682,2146,0.317800559,Data & IT
Dialysis Nurse,40%,453,1512,0.299603175,Administrative & Clerical
Oncology Nurse,40%,444,1475,0.301016949,Leadership & Strategy
Service Delivery Manager,40%,772,2336,0.330479452,Medical & Healthcare
Excavator Operator,40%,306,1146,0.267015707,Supply Chain & Logistics
Claim Representative,40%,723,2147,0.336748952,Law Enforcement
Insurance Manager,40%,700,2137,0.327562003,Construction
Auto Body Technician,40%,412,1409,0.292405962,Sales & Marketing
Dental Office Manager,40%,651,2087,0.311931001,Hospitality
Configuration Manager,40%,701,2069,0.33881102,Communication & PR
Clinical Nurse,40%,458,1509,0.30351226,Data & IT
Events Assistant,40%,758,2237,0.33884667,Administrative & Clerical
Transportation Dispatcher,40%,719,2282,0.315074496,Leadership & Strategy
Bar Manager,40%,564,1815,0.310743802,Medical & Healthcare
Family Nurse Practitioner,40%,450,1494,0.301204819,Supply Chain & Logistics
Nurse Clinician,40%,452,1493,0.302746149,Law Enforcement
Assembly Technician,40%,437,1436,0.304317549,Construction
Night Manager,40%,430,1380,0.311594203,Sales & Marketing
Reservation Specialist,40%,614,2138,0.287184284,Hospitality
Reservationist,40%,570,2011,0.283441074,Communication & PR
Reservations Agent,40%,565,2015,0.280397022,Data & IT
Restaurant General Manager,40%,392,1308,0.29969419,Administrative & Clerical
Restaurant Supervisor,40%,384,1285,0.298832685,Leadership & Strategy
Server,40%,206,666,0.309309309,Medical & Healthcare
Server Assistant,40%,246,708,0.347457627,Supply Chain & Logistics
Travel Assistant,40%,708,2151,0.329149233,Law Enforcement
Behavioral Technician,40%,134,948,0.141350211,Construction
Nursing Home Administrator,40%,440,1692,0.260047281,Sales & Marketing
Youth Program Director,40%,771,2366,0.325866441,Hospitality
Air Marshal,40%,41,325,0.126153846,Communication & PR
Court Security Officer,40%,339,1079,0.314179796,Data & IT
Detective,40%,400,1195,0.334728033,Administrative & Clerical
Forensic Investigator,40%,419,1269,0.330181245,Leadership & Strategy
Gunsmith,40%,140,555,0.252252252,Medical & Healthcare
Investigator,40%,473,1414,0.334512023,Supply Chain & Logistics
Security Supervisor,40%,283,998,0.283567134,Law Enforcement
Cisco Engineer,40%,95,623,0.152487961,Construction
Cisco Network Engineer,40%,95,623,0.152487961,Sales & Marketing
Computer Operator,40%,457,1300,0.351538462,Hospitality
Controls Engineer,40%,453,1254,0.361244019,Communication & PR
Digital Account Manager,39%,560,1606,0.348692403,Data & IT
Edi Analyst,38%,524,1437,0.364648573,Administrative & Clerical
Information Security Engineer,38%,491,1373,0.357611071,Leadership & Strategy
Integration Analyst,38%,540,1483,0.36412677,Medical & Healthcare
It Specialist,38%,547,1548,0.353359173,Supply Chain & Logistics
Junior Network Engineer,38%,493,1352,0.36464497,Law Enforcement
Network Consultant,38%,1009,3292,0.306500608,Construction
Network Support Specialist,38%,1025,3395,0.30191458,Sales & Marketing
Salesforce Administrator,38%,1022,3269,0.312633833,Hospitality
Sap Functional Consultant,38%,1025,3289,0.311644877,Communication & PR
Support Technician,38%,1122,3609,0.310889443,Data & IT
Crisis Counselor,38%,397,1224,0.324346405,Administrative & Clerical
Mechanical Drafter,37%,567,1959,0.289433384,Leadership & Strategy
Production Engineer,37%,668,2485,0.268812877,Medical & Healthcare
Security Engineer,37%,631,1968,0.320630081,Supply Chain & Logistics
Simulation Engineer,37%,667,2285,0.29190372,Law Enforcement
Underground Miner,36%,286,1124,0.254448399,Construction
Unix Engineer,36%,516,1690,0.305325444,Sales & Marketing
Verification Engineer,36%,506,1628,0.310810811,Hospitality
Voice Engineer,36%,551,1759,0.313246163,Communication & PR
Chief Administrative Officer,35%,281,1828,0.153719912,Data & IT
Emergency Management Specialist,35%,403,1291,0.312161115,Administrative & Clerical
Loss Prevention Manager,35%,445,1545,0.28802589,Leadership & Strategy
Proposal Coordinator,35%,984,3525,0.279148936,Medical & Healthcare
Provider Relations Representative,35%,707,2389,0.295939724,Supply Chain & Logistics
Secretary,35%,617,2226,0.277178796,Law Enforcement
Trading Assistant,35%,659,2040,0.323039216,Construction
Volunteer Coordinator,35%,787,2343,0.335894153,Sales & Marketing
Car Driver,35%,60,505,0.118811881,Hospitality
Carrier,35%,62,529,0.117202268,Communication & PR
Construction Driver,35%,200,756,0.264550265,Data & IT
Contract Driver,35%,174,672,0.258928571,Administrative & Clerical
Courier,35%,177,680,0.260294118,Leadership & Strategy
Forklift Driver,35%,160,648,0.24691358,Medical & Healthcare
Tanker,35%,62,373,0.166219839,Supply Chain & Logistics
Taxi Driver,35%,93,383,0.242819843,Law Enforcement
Assistant Restaurant Manager,35%,142,1006,0.141153082,Construction
Banquet Captain,35%,101,793,0.127364439,Sales & Marketing
Brewer,35%,55,508,0.108267717,Hospitality
Chef Manager,35%,90,740,0.121621622,Communication & PR
Executive Chef,35%,299,1007,0.296921549,Data & IT
Food Production Worker,35%,260,953,0.272822665,Administrative & Clerical
Front Of House Manager,35%,443,1432,0.309357542,Leadership & Strategy
Front Office Supervisor,35%,468,1627,0.287645974,Medical & Healthcare
Greeter,35%,277,900,0.307777778,Supply Chain & Logistics
Hotel Front Office Manager,35%,475,1545,0.307443366,Law Enforcement
Hotel General Manager,35%,425,1271,0.334382376,Construction
Hotel Operations Manager,35%,429,1275,0.336470588,Sales & Marketing
Contract Negotiator,35%,397,1238,0.320678514,Hospitality
Housing Specialist,35%,441,1408,0.313210227,Communication & PR
Proposal Specialist,35%,988,3459,0.285631685,Data & IT
Analytical Chemist,35%,114,757,0.150594452,Administrative & Clerical
Cytogenetic Technologist,35%,337,1150,0.293043478,Leadership & Strategy
Food Scientist,35%,340,1184,0.287162162,Medical & Healthcare
Food Technologist,35%,336,1179,0.284987277,Supply Chain & Logistics
Laboratory Assistant,35%,456,1497,0.304609218,Law Enforcement
Patent Agent,35%,641,2233,0.28705777,Construction
Taxonomist,35%,661,2244,0.29456328,Sales & Marketing
Accounting Consultant,35%,240,1585,0.151419558,Hospitality
Accounting Technician,35%,213,1460,0.145890411,Communication & PR
Accounts Receivable Clerk,35%,217,1451,0.149552033,Data & IT
Appraiser,35%,177,1268,0.139589905,Administrative & Clerical
Broker Assistant,35%,207,1467,0.141104294,Leadership & Strategy
Commercial Loan Officer,35%,441,1284,0.343457944,Medical & Healthcare
Commodity Trader,35%,444,1360,0.326470588,Supply Chain & Logistics
Corporate Accountant,35%,486,1586,0.306431274,Law Enforcement
Entry Level Accountant,35%,481,1585,0.303470032,Construction
Equity Trader,35%,443,1351,0.327905255,Sales & Marketing
Financial Accountant,35%,483,1572,0.307251908,Hospitality
Fund Accounting Manager,35%,483,1612,0.299627792,Communication & PR
General Accountant,35%,466,1545,0.301618123,Data & IT
General Ledger Accountant,35%,466,1543,0.302009073,Administrative & Clerical
Investment Banking Analyst,35%,478,1461,0.327173169,Leadership & Strategy
Private Equity Analyst,35%,721,2283,0.315812527,Medical & Healthcare
Risk Analyst,35%,725,2289,0.316732197,Supply Chain & Logistics
Treasury Manager,35%,704,2184,0.322344322,Law Enforcement
Clinic Receptionist,35%,241,1566,0.153895275,Construction
Dental Receptionist,35%,461,1651,0.279224712,Sales & Marketing
Front Office Assistant,35%,470,1642,0.286236297,Hospitality
Yard Jockey,35%,314,1178,0.26655348,Communication & PR
Associate Consultant,35%,289,1784,0.161995516,Data & IT
Consultant,35%,495,1511,0.327597617,Administrative & Clerical
Financial Consultant,35%,486,1547,0.314156432,Leadership & Strategy
Technical Consultant,35%,1240,4070,0.304668305,Medical & Healthcare
Technology Consultant,35%,1236,4064,0.304133858,Supply Chain & Logistics
Product Demonstrator,35%,911,3170,0.287381703,Law Enforcement
Promotions Manager,35%,1044,3723,0.280419017,Construction
Purchasing Agent,35%,853,3098,0.275338928,Sales & Marketing
Special Events Coordinator,35%,1071,3790,0.282585752,Hospitality
Assistant Project Manager,35%,311,1980,0.157070707,Communication & PR
Associate Product Manager,35%,316,2008,0.157370518,Data & IT
Product Director,35%,995,3281,0.303261201,Administrative & Clerical
Product Owner,35%,1045,3492,0.299255441,Leadership & Strategy
Project Estimator,35%,865,2706,0.319660015,Medical & Healthcare
Project Lead,35%,1053,3454,0.304863926,Supply Chain & Logistics
Project Leader,35%,1051,3453,0.304373009,Law Enforcement
Project Management Specialist,35%,1070,3480,0.307471264,Construction
Inventory Specialist,35%,524,1687,0.310610551,Sales & Marketing
Merchandising Assistant,35%,873,3073,0.284087211,Hospitality
Stock Manager,35%,661,2265,0.29183223,Communication & PR
Architectural Drafter,35%,137,1204,0.113787375,Data & IT
Drilling Supervisor,35%,232,792,0.292929293,Administrative & Clerical
General Contractor,35%,299,939,0.318423855,Leadership & Strategy
Safety Professional,35%,574,1964,0.292260692,Medical & Healthcare
Safety Specialist,35%,570,1958,0.291113381,Supply Chain & Logistics
Adjuster,35%,222,1451,0.152997932,Law Enforcement
Claim Specialist,35%,236,1511,0.156187955,Construction
Claims Examiner,35%,238,1561,0.152466368,Sales & Marketing
Claims Representative,35%,240,1572,0.152671756,Hospitality
Insurance Broker,35%,441,1376,0.320494186,Communication & PR
Policy Advisor,35%,736,2378,0.309503785,Data & IT
Mobile Phlebotomist,35%,147,467,0.314775161,Administrative & Clerical
Orthopedic Technician,35%,174,673,0.258543834,Leadership & Strategy
Aircraft Assembler,35%,64,518,0.123552124,Medical & Healthcare
Aircraft Maintenance Technician,35%,68,536,0.126865672,Supply Chain & Logistics
Aircraft Mechanic,35%,69,546,0.126373626,Law Enforcement
Auto Mechanic,35%,70,573,0.122164049,Construction
Auto Technician,35%,70,573,0.122164049,Sales & Marketing
Automotive Mechanic,35%,70,573,0.122164049,Hospitality
Automotive Technician,35%,70,573,0.122164049,Communication & PR
Aviation Maintenance Technician,35%,68,536,0.126865672,Data & IT
Aviation Mechanic,35%,67,527,0.127134725,Administrative & Clerical
Car Mechanic,35%,66,525,0.125714286,Leadership & Strategy
Copier Technician,35%,232,884,0.262443439,Medical & Healthcare
Diesel Mechanic,35%,206,740,0.278378378,Supply Chain & Logistics
Diesel Technician,35%,209,744,0.280913978,Law Enforcement
Fire Alarm Technician,35%,218,777,0.280566281,Construction
Generator Technician,35%,232,841,0.275862069,Sales & Marketing
Gse Mechanic,35%,199,736,0.270380435,Hospitality
Hvac,35%,204,765,0.266666667,Communication & PR
Hvac Mechanic,35%,206,807,0.255266419,Data & IT
Lead Technician,35%,428,1196,0.357859532,Administrative & Clerical
Materials Planner,35%,752,2426,0.309975268,Leadership & Strategy
Office Cleaning,35%,67,416,0.161057692,Medical & Healthcare
Prepress,35%,546,2241,0.243641232,Supply Chain & Logistics
Prepress Technician,35%,548,2232,0.245519713,Law Enforcement
Telecom Technician,35%,637,1938,0.32868937,Construction
Upholsterer,35%,325,1265,0.256916996,Sales & Marketing
Wire Technician,35%,527,1641,0.321145643,Hospitality
Assistant Designer,35%,226,1888,0.11970339,Communication & PR
Cnc Operator,35%,89,611,0.145662848,Data & IT
Inventory Associate,35%,536,1848,0.29004329,Administrative & Clerical
Inventory Clerk,35%,530,1840,0.288043478,Leadership & Strategy
Lathe Operator,35%,200,820,0.243902439,Medical & Healthcare
Manufacturing Process Engineer,35%,715,2635,0.271347249,Supply Chain & Logistics
Night Stocker,35%,312,1108,0.281588448,Law Enforcement
Overnight Stocker,35%,320,1114,0.287253142,Construction
Penetration Tester,35%,668,2047,0.326331216,Sales & Marketing
Peoplesoft Developer,35%,957,3052,0.313564875,Hospitality
Programmer Analyst,35%,979,3054,0.320563196,Communication & PR
Salesforce Developer,35%,1004,3228,0.311028501,Data & IT
Sharepoint Administrator,35%,1002,3274,0.306047648,Administrative & Clerical
Business Development Analyst,35%,338,2185,0.154691076,Leadership & Strategy
Business Development Associate,35%,340,2190,0.155251142,Medical & Healthcare
Business Development Specialist,35%,341,2193,0.155494756,Supply Chain & Logistics
Financial Reporting Analyst,35%,532,1624,0.327586207,Law Enforcement
Financial Risk Analyst,35%,517,1584,0.326388889,Construction
Gis Analyst,35%,511,1434,0.356345886,Sales & Marketing
Program Analyst,35%,970,3248,0.29864532,Hospitality
Transportation Analyst,35%,815,2451,0.33251734,Communication & PR
Data Manager,35%,611,1771,0.345002823,Data & IT
Geospatial Analyst,35%,506,1430,0.353846154,Administrative & Clerical
Gis Technician,35%,494,1408,0.350852273,Leadership & Strategy
Oracle Dba,35%,961,3055,0.314566285,Medical & Healthcare
Graphics Designer,35%,631,2347,0.268853856,Supply Chain & Logistics
Senior Graphic Designer,35%,857,3006,0.285096474,Law Enforcement
Employee Relations Specialist,35%,467,1469,0.317903336,Construction
Human Resources Representative,35%,469,1525,0.307540984,Sales & Marketing
Onboarding Specialist,35%,955,3349,0.285159749,Hospitality
Payroll Supervisor,35%,718,2405,0.298544699,Communication & PR
Special Events Manager,35%,1049,3671,0.285753201,Data & IT
Telephone Interviewer,35%,924,2765,0.334177215,Administrative & Clerical
Training Specialist,35%,1018,3114,0.326910726,Leadership & Strategy
Corporate Paralegal,35%,458,1638,0.27960928,Medical & Healthcare
Juvenile Probation Officer,35%,429,1323,0.324263039,Supply Chain & Logistics
Legal Receptionist,35%,463,1700,0.272352941,Law Enforcement
Legislative Assistant,35%,774,2532,0.305687204,Construction
Patent Examiner,35%,607,2133,0.284575715,Sales & Marketing
Family Support Specialist,35%,450,1548,0.290697674,Hospitality
Family Support Worker,35%,454,1560,0.291025641,Communication & PR
Field Organizer,35%,452,1389,0.325413967,Data & IT
Organizer,35%,823,3094,0.265998707,Administrative & Clerical
Business Partner,35%,319,2087,0.152850982,Leadership & Strategy
Operations Analyst,35%,939,3006,0.31237525,Medical & Healthcare
Strategic Planner,35%,935,3451,0.270935961,Supply Chain & Logistics
Strategist,35%,926,3429,0.270049577,Law Enforcement
Workforce Analyst,35%,771,2290,0.336681223,Construction
Business Development Consultant,35%,346,2218,0.155996393,Sales & Marketing
Business Development Director,35%,348,2223,0.156545209,Hospitality
Business Development Manager,35%,352,2227,0.158060171,Communication & PR
Client Manager,35%,353,2216,0.159296029,Data & IT
Commercial Account Manager,35%,374,2294,0.163034002,Administrative & Clerical
Commercial Sales Manager,35%,376,1109,0.339044184,Leadership & Strategy
Hvac Sales,35%,309,1062,0.290960452,Medical & Healthcare
Online Sales Manager,35%,998,3082,0.323815704,Supply Chain & Logistics
Regional Sales Manager,35%,1003,3153,0.318109737,Law Enforcement
Relationship Manager,35%,967,3049,0.317153165,Construction
Sales Consultant,35%,996,3045,0.327093596,Sales & Marketing
Sales Coordinator,35%,997,3135,0.318022329,Hospitality
Senior Sales Executive,35%,973,3033,0.320804484,Communication & PR
Acute Care Nurse Practitioner,35%,119,796,0.149497487,Data & IT
Neonatal Nurse Practitioner,35%,229,825,0.277575758,Administrative & Clerical
Nursing,35%,237,882,0.268707483,Leadership & Strategy
Staff Nurse,35%,236,841,0.280618312,Medical & Healthcare
Environmental Specialist,35%,376,1239,0.303470541,Supply Chain & Logistics
Staffing Recruiter,35%,870,2826,0.307855626,Law Enforcement
Aircraft Engineer,35%,93,688,0.135174419,Construction
Asic Design Engineer,35%,98,699,0.140200286,Sales & Marketing
Circuit Design Engineer,35%,96,697,0.137733142,Hospitality
